"Pozycja (x, y)","Prędkość (Vx, Vy)",Masa,"Siła (Fx, Fy)","Przyspieszenie (Ax, Ay)"
[ 8.94134661e+33 -5.55386690e+32],[ 9.03166325e+26 -5.60996655e+25],1e+30,[-4.80699944e-16  8.75211173e-16],[-4.80699944e-46  8.75211173e-46]
[ 1.31787356e+33 -1.91572147e+32],[ 1.33118541e+26 -1.93507224e+25],1e+30,[ 6.53841523e-15 -2.81996184e-15],[ 6.53841523e-45 -2.81996184e-45]
[-6.20740659e+33 -1.50357259e+33],[-6.27010767e+26 -1.51876019e+26],1e+30,[1.45896699e-14 4.74188472e-16],[1.45896699e-44 4.74188472e-46]
[ 7.41481084e+33 -5.70211414e+33],[ 7.48970792e+26 -5.75971125e+26],1e+30,[-5.42680753e-16  4.60599171e-16],[-5.42680753e-46  4.60599171e-46]
[ 1.90299281e+33 -9.00455148e+32],[ 1.92221496e+26 -9.09550654e+25],1e+30,[9.10227577e-17 3.20650360e-15],[9.10227577e-47 3.20650360e-45]
[ 5.42174166e+32 -2.64257176e+33],[ 5.47650672e+25 -2.66926441e+26],1e+30,[-1.25347377e-15  2.23407848e-15],[-1.25347377e-45  2.23407848e-45]
[1.90440115e+32 4.46599745e+33],[1.92363753e+25 4.51110855e+26],1e+30,[ 7.49389410e-16 -8.71032864e-16],[ 7.49389410e-46 -8.71032864e-46]
[ 1.03461405e+34 -8.53325466e+33],[ 1.04506470e+27 -8.61944915e+26],1e+30,[-2.90174429e-16  1.85500631e-16],[-2.90174429e-46  1.85500631e-46]
[5.2435054e+33 2.5870575e+33],[5.29647010e+26 2.61318939e+26],1e+30,[-1.96673005e-15 -1.91554710e-15],[-1.96673005e-45 -1.91554710e-45]
[3.78324957e+34 7.64281024e+34],[3.82146421e+27 7.72001035e+27],1e+30,[-4.07094812e-18 -8.58572472e-18],[-4.07094812e-48 -8.58572472e-48]
[6.84306948e+34 1.58169261e+34],[6.91219139e+27 1.59766930e+27],1e+30,[-1.30357565e-17 -3.56133873e-18],[-1.30357565e-47 -3.56133873e-48]
[-1.16828121e+34 -1.39516379e+34],[-1.18008203e+27 -1.40925635e+27],1e+30,[1.36126972e-16 1.58532878e-16],[1.36126972e-46 1.58532878e-46]
[ 1.93540577e+33 -5.76505143e+33],[ 1.95495532e+26 -5.82328428e+26],1e+30,[-1.44539360e-16  1.58308621e-15],[-1.44539360e-46  1.58308621e-45]
[-8.46678676e+32 -5.51464633e+33],[-8.55230985e+25 -5.57034983e+26],1e+30,[4.14550338e-15 6.10934884e-15],[4.14550338e-45 6.10934884e-45]
[-4.71644440e+33  6.04976531e+33],[-4.76408525e+26  6.11087405e+26],1e+30,[ 8.05328485e-16 -9.19018221e-16],[ 8.05328485e-46 -9.19018221e-46]
[1.81176340e+33 1.75473911e+34],[1.83006404e+26 1.77246375e+27],1e+30,[ 5.96512827e-17 -3.02994617e-16],[ 5.96512827e-47 -3.02994617e-46]
[-3.55738164e+32  1.15276342e+33],[-3.59331479e+25  1.16440750e+26],1e+30,[ 5.68049233e-15 -2.32116687e-15],[ 5.68049233e-45 -2.32116687e-45]
[ 2.61080944e+33 -2.04221075e+33],[ 2.63718125e+26 -2.06283915e+26],1e+30,[-3.75612353e-15 -5.12805532e-15],[-3.75612353e-45 -5.12805532e-45]
[ 3.54112795e+33 -4.80163082e+33],[ 3.57689691e+26 -4.85013214e+26],1e+30,[1.17552946e-16 5.36031590e-16],[1.17552946e-46 5.36031590e-46]
[-1.03747693e+34  3.08208791e+34],[-1.04795649e+27  3.11322011e+27],1e+30,[ 1.95633101e-17 -6.25248572e-17],[ 1.95633101e-47 -6.25248572e-47]
[ 8.76509553e+33 -6.62677867e+33],[ 8.85363185e+26 -6.69371582e+26],1e+30,[-4.30022841e-16  3.00358258e-16],[-4.30022841e-46  3.00358258e-46]
